locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
855-003;Grand Béguinage de Mechelen (Malines);Belgium;Бельгия;N51;51;1;51.5;E4;4;28;25.5;5.4 ha;—;855;51.0309722;4.47375;bel
855-004;Béguinage de Turnhout;Belgium;Бельгия;N51;51;19;35.8;E4;4;56;35.2;1.5 ha;—;855;51.3266111;4.9431111;bel
855-005;Beguinage de Sint-Truiden (Saint Trond);Belgium;Бельгия;N50;50;49;16.2;E5;5;11;34.9;22.8 ha;—;855;50.8211667;5.1930278;bel
855-006;Béguinage de Tongeren (Tongres);Belgium;Бельгия;N50;50;46;44.3;E5;5;28;8.9;2.5 ha;—;855;50.7789722;5.4691389;bel
855-007;Béguinage de Dendermonde (Termonde);Belgium;Бельгия;N51;51;1;38.1;E4;4;5;49.1;2.5 ha;—;855;51.02725;4.0969722;bel
855-008;Petit Béguinage de Gent (Gand);Belgium;Бельгия;N51;51;2;46.1;E3;3;44;9.9;4.5 ha;—;855;51.0461389;3.7360833;bel
855-009;Béguinage de Sint-Amandsberg / Gent (Mont-Saint-Amand-lez-Gand);Belgium;Бельгия;N51;51;3;24.4;E3;3;44;50.5;;—;855;51.0567778;3.7473611;bel
855-010;Béguinage de Diest;Belgium;Бельгия;N50;50;59;14.2;E5;5;3;36.2;4.5 ha;—;855;50.9872778;5.0600556;bel
855-011;Grand Béguinage of Leuven (Louvain);Belgium;Бельгия;N50;50;52;15.6;E4;4;41;46.3;4.2 ha;—;855;50.871;4.6961944;bel
855-012;Béguinage de Bruges (Brugge);Belgium;Бельгия;N51;51;12;4.4;E3;3;13;21.2;0.55 ha;—;855;51.2012222;3.2225556;bel
855-013;Béguinage de Kortrijk (Courtrail);Belgium;Бельгия;N50;50;49;40.3;E3;3;16;2.8;0.7 ha;;855;50.8278611;3.2674444;bel
943-001;Belfort en Schepenhuis / Beffroi et maison échevinale;Belgium;Бельгия;N50;50;56;18.3;E4;4;2;16;0.038 ha;0.145 ha;943;50.9384167;4.0377778;bel
943-002;Onze-Lieve-Vrouwekathedraal;Belgium;Бельгия;N51;51;13;13.6;E4;4;23;59.8;0.759 ha;100 ha;943;51.2204444;4.3999444;bel
943-003;Stadhuis;Belgium;Бельгия;N51;51;13;16.6;E4;4;23;57.9;;—;943;51.2212778;4.3994167;bel
943-004;Belfort en Hallen;Belgium;Бельгия;N51;51;12;30.2;E3;3;13;28.6;0.2504 ha;34.72 ha;943;51.2083889;3.2246111;bel
943-005;Stadhuis met Belfort;Belgium;Бельгия;N51;51;1;51.3;E4;4;5;54.4;0.1331 ha;4 ha;943;51.0309167;4.0984444;bel
943-006;Stadhuis met Belfort;Belgium;Бельгия;N51;51;2;1.1;E2;2;51;52.6;0.073 ha;15 ha;943;51.0336389;2.8646111;bel
943-007;Stadhuis met Belfort;Belgium;Бельгия;N51;51;11;2;E3;3;34;4.9;0.052 ha;10 ha;943;51.1838889;3.5680278;bel
943-008;Belfort, Lakenhal en Mammelokker (ancienne prison);Belgium;Бельгия;N51;51;3;14;E3;3;43;30.8;0.182 ha;700 ha;943;51.0538889;3.7252222;bel
943-009;Voormalig Stadhuis / Lakenhal;Belgium;Бельгия;N51;51;10;47.2;E4;4;50;7.6;0.039 ha;5 ha;943;51.1797778;4.8354444;bel
